hid,family,id,N,mean,se,t,clusters,sd,p_one,p_two
S1::68c1cc1bd5cc,S1,68c1cc1bd5cc,113,-0.05190193649675727,0.07691452420423066,-0.67480020235115,85,0.7579308423568473,0.7500986440919964,0.4998027118160069
S1::924148fb2e3c,S1,924148fb2e3c,242,-0.01759221254289537,0.05422450962127004,-0.32443285639220737,137,0.8219254588534183,0.6271948259954223,0.7456103480091554
S1::a6b95b3ecb7c,S1,a6b95b3ecb7c,113,0.05421520252848681,0.08231041726950909,0.6586675699987027,85,0.8205868698126343,0.25505463114346094,0.5101092622869219
S1::4d3df8a4ca1a,S1,4d3df8a4ca1a,242,0.04393193592129376,0.05771594170045609,0.7611750692607446,137,0.8629918101919476,0.22327625351294,0.44655250702588
S1::bc080bf7ece5,S1,bc080bf7ece5,113,0.09008653735760365,0.0902011918440921,0.9987289027545597,85,0.9222180667155451,0.15896301772744093,0.31792603545488185
S1::633349b9e212,S1,633349b9e212,242,0.08351261631245772,0.06456843469527382,1.293396947077773,137,0.9707144789482245,0.09793690273877276,0.19587380547754552
S1::48ad23108536,S1,48ad23108536,116,-0.005377695969893389,0.027941554338613638,-0.19246230559413507,85,0.30559439738868566,0.5763099541576585,0.847380091684683
S1::d2c4eea80c05,S1,d2c4eea80c05,245,-0.018934638921072354,0.01865482039009822,-1.01499979764601,137,0.3101024379316935,0.8449470380182051,0.3101059239635897
S1::8f3783d484b8,S1,8f3783d484b8,113,-0.055045516265188575,0.07662960087776567,-0.718332284582735,85,0.75155084253464,0.7637237858034178,0.47255242839316436
S1::746c239d548d,S1,746c239d548d,242,-0.018822332481679468,0.05274707906792164,-0.3568412282591464,137,0.797411175134837,0.6393946651277548,0.7212106697444904
S1::27dac283bd69,S1,27dac283bd69,195,0.07255545724807703,0.06241857629999869,1.1624016686852654,115,0.8776697463892508,0.12253617289723184,0.2450723457944637
S1::a4380cf3639e,S1,a4380cf3639e,195,0.1173866818439834,0.07161254709920103,1.639191546718397,115,0.994799053539689,0.05058668689612589,0.10117337379225178
S1::05f0239ef61c,S1,05f0239ef61c,195,-0.016871153376310694,0.01978561261243008,-0.8526980542271201,115,0.30239580965239005,0.8030866148973174,0.3938267702053653
S1::a19276013e8a,S1,a19276013e8a,195,0.02795125464464334,0.05821452694459614,0.48014226193481013,115,0.8352073123200687,0.31556311949786386,0.6311262389957277
S1::cd642ef1404e,S1,cd642ef1404e,195,0.07851333673481627,0.06009791614315246,1.3064236128886484,115,0.8542275637022331,0.09570427009126314,0.1914085401825263
S1::38fdc1c4af4e,S1,38fdc1c4af4e,195,0.12160349726605275,0.06929244017409393,1.7549316629711669,115,0.9707488733626133,0.03963549872772143,0.07927099745544286
S1::bc9ebec264da,S1,bc9ebec264da,195,-0.011771884951308913,0.018015547115495658,-0.6534292228729262,115,0.27910556000086334,0.7432601977915946,0.5134796044168108
S1::0ca314a8a836,S1,0ca314a8a836,195,0.02538947126389808,0.056428404413545984,0.44994132880006055,115,0.8081710342229267,0.3263763731166438,0.6527527462332876
S1::72db3642bcc6,S1,72db3642bcc6,2159,0.017642339957081435,0.02761205341362494,0.6389361809787014,180,1.25554806671822,0.26143222479444606,0.5228644495888921
