motif,mean_R,count,len
PSvb|R:DECELMOREPART|ASvB,-0.4350572779196784,92,3
R:ACCELLESSPART|PSvn,-0.43504734263065353,2590,2
ASVn|R:DECELMOREPART|ASVn,-0.43483945790817363,309,3
R:ACCELMOREPART|PSVB|R:DECELLESSPART,-0.43436654611564907,50,3
ASvB|R:DECELLESSPART,-0.4340530616690304,383,2
PSVb|R:DECELMOREPART|ASVn,-0.4340076656222232,285,3
ASVB|R:DECELMOREPART|PSVB,-0.43396503490866645,172,3
PSvn|R:ACCELLESSPART|PSvb,-0.43379016629476064,103,3
AwVn|R:ACCELLESSPART|ASVn,-0.43372162860400604,415,3
R:DECELLESSPART|PwVn|R:ACCELLESSPART,-0.43337383366992976,1025,3
ASvn|R:ACCELMOREPART|PSvb,-0.43273595914148105,274,3
PwVn|R:DECELMOREPART,-0.43237004549741875,89,2
R:DECELLESSPART|ASVn|R:DECELLESSPART,-0.43227134662459477,565,3
R:ACCELMOREPART|PSvn|R:DECELMOREPART,-0.43198985524008277,339,3
Pwvb|R:ACCELLESSPART,-0.4319343395598381,53,2
R:ACCELMOREPART|ASVb,-0.43175565306589053,508,2
AwVn|R:ACCELMOREPART|ASVn,-0.43098339986150386,236,3
Awvn|R:ACCELMOREPART|ASVn,-0.4309212351268383,73,3
R:DECELMOREPART|ASVB|R:ACCELLESSPART,-0.43080218403613396,159,3
R:DECELLESSPART|PSvn|R:ACCELMOREPART,-0.4301538887568433,846,3
R:ACCELMOREPART|PSvn,-0.42999201566801554,1151,2
AwVn,-0.4299665740026108,2487,1
PSVn|R:ACCELLESSPART|PSVn,-0.4295732489094339,265,3
R:ACCELLESSPART|ASVn,-0.4290369181561839,2239,2
R:DECELMOREPART|AwVb,-0.42885086394568733,261,2
PSvb|R:ACCELMOREPART,-0.42872026575974653,1110,2
R:ACCELMOREPART|PSVn|R:ACCELMOREPART,-0.428056943136614,483,3
ASvn|R:DECELMOREPART|PSvn,-0.4277703189676008,644,3
R:ACCELMOREPART|PSVn|R:ACCELLESSPART,-0.42733138829730744,370,3
PSVb|R:DECELMOREPART|PSVb,-0.4263027491934076,174,3
R:ACCELMOREPART|Pwvn,-0.42569853035832234,64,2
ASVn|R:DECELMOREPART|ASVB,-0.42563662505939803,116,3
R:ACCELLESSPART|ASVn|R:DECELMOREPART,-0.42543802706733475,473,3
R:ACCELMOREPART|ASvB|R:DECELLESSPART,-0.4253452715842702,115,3
R:ACCELMOREPART|PSvb|R:ACCELMOREPART,-0.42525808196304793,377,3
ASvn,-0.42395469230146865,4690,1
ASvn|R:ACCELMOREPART|PSVb,-0.4228638722513869,127,3
PSVn|R:DECELLESSPART|ASvn,-0.4227700882566361,204,3
R:DECELLESSPART|PwVn|R:DECELMOREPART,-0.4227362580237918,25,3
PSVb|R:ACCELMOREPART|PSVb,-0.4226775724707205,77,3
R:DECELLESSPART|PSVn|R:ACCELMOREPART,-0.4224563552987814,246,3
ASvB|R:DECELMOREPART|PwVB,-0.4219352294525005,65,3
PSvn,-0.4216604756736236,5806,1
AwVn|R:ACCELLESSPART,-0.42158187457084395,1838,2
PSVb|R:ACCELLESSPART,-0.42157911790942076,705,2
ASvn|R:DECELMOREPART|Pwvn,-0.4214107818023892,248,3
R:DECELLESSPART,-0.42138591381805346,5704,1
R:ACCELLESSPART|ASvB,-0.4210226656473621,3951,2
PSVn|R:DECELLESSPART|PwVn,-0.42083045935529584,373,3
Awvn|R:ACCELMOREPART|Pwvn,-0.4200670226401105,32,3
ASVB|R:DECELMOREPART|AwVn,-0.41968310757896876,40,3
PSVb|R:DECELLESSPART|ASVb,-0.419581176550049,127,3
R:DECELMOREPART|Pwvn|R:ACCELLESSPART,-0.418598014136058,231,3
