sid,ent,side,net,mfe,mae,year,month,dow,hour,hb,sess,atr,atr_pct,volb,h1up,h4ctx,rloc24,retz,align
HTF_PBK_TREND,84036,1,-1.1745833333333433,0.22833333333334707,-2.245625000000127,2015,1,3,0,1,AS,1.1803214285714116,0.258,lo,False,TREND_UP,0.41047261390206685,0.11013948984830832,ALIGN
HTF_PBK_TREND,86181,-1,-1.1243507938863326,0.8300934856803716,-1.5230746401543365,2015,3,1,7,15,AS,1.30275000000006,0.4115,md,False,TREND_DOWN,0.47351545703906733,-0.4920360775283415,ALIGN
HTF_PBK_TREND,86193,-1,-1.1641206423815194,0.1639247943595823,-1.2273795534665317,2015,3,1,10,21,LN,1.1395000000000144,0.3245,lo,False,TREND_DOWN,0.5137074517019355,-0.18473014480027047,ALIGN
HTF_PBK_TREND,86205,-1,-1.0818279464896008,0.08788204276926982,-1.3919539107509158,2015,3,1,13,27,NY,1.669857142857154,0.578,md,False,TREND_DOWN,0.4407237043851581,-1.0689537171700307,ALIGN
HTF_PBK_TREND,86270,-1,1.7835743801652806,2.114669421487715,-0.1337809917355501,2015,3,2,6,13,AS,0.8314642857142515,0.0525,lo,False,TREND_DOWN,0.4120519323214361,0.6055581804905908,ALIGN
HTF_PBK_TREND,88263,1,1.9168568310348226,3.481694612560875,-0.12124218672485228,2015,4,3,16,33,NY,2.210749999999994,0.874,hi,True,TREND_UP,0.3677527638924302,-0.937012326133674,ALIGN
HTF_PBK_TREND,89434,-1,1.9118358758548142,2.4214623882166606,-0.8075749605471118,2015,4,2,7,15,AS,1.3941785714285484,0.5475,md,True,TREND_DOWN,0.599367755532133,0.0007172682326853588,ALIGN
HTF_PBK_TREND,90362,-1,-1.0681356207821775,0.4902024554841863,-1.038702333523023,2015,5,2,7,15,AS,1.2734285714285696,0.4885,md,True,TREND_DOWN,0.35692123658929226,-3.5530065066187984,ALIGN
HTF_PBK_TREND,91504,1,-0.49625588361146267,0.21213093709886435,-0.7150192554556881,2015,5,4,14,29,NY,2.631999999999997,0.947,hi,False,TREND_UP,0.34744471287864287,-2.189399696048652,ALIGN
HTF_PBK_TREND,92855,-1,-1.0852492370295022,0.6304170905391824,-1.2511698880976672,2015,6,4,8,17,LN,1.1807499999999729,0.532,md,True,TREND_DOWN,0.40672379696769506,-2.7287740842685193,ALIGN
HTF_PBK_TREND,92883,-1,-1.1608136634043436,0.46478602955289294,-1.8246018038764542,2015,6,4,15,31,NY,1.8496071428571506,0.865,hi,False,TREND_DOWN,0.5608036438510177,1.7576705477997057,ALIGN
HTF_PBK_TREND,93121,-1,-1.3398215733981675,1.1269261962691008,-1.2169505271694154,2015,6,2,5,11,AS,0.6864285714285805,0.192,lo,False,TREND_DOWN,0.28543540994736466,-1.004474505723454,ALIGN
HTF_PBK_TREND,94760,-1,1.8300202839756536,2.2557809330629746,-0.6736308316430066,2015,7,0,4,9,AS,0.9935357142857291,0.4115,md,True,TREND_DOWN,0.24010127294466577,-1.0830008267730746,ALIGN
HTF_PBK_TREND,96132,-1,-1.128448804414463,0.3824340895155978,-1.4618332311464994,2015,8,6,23,47,LT,0.863178571428583,0.1855,lo,False,TREND_DOWN,0.5634810760154132,-1.9399230419132614,ALIGN
HTF_PBK_TREND,96164,-1,1.9061274784362061,2.0535454239945787,-0.19491430491768905,2015,8,0,7,15,AS,1.2206785714285584,0.3765,md,True,TREND_DOWN,0.566186023726856,-1.6634190584862838,ALIGN
HTF_PBK_TREND,101599,1,-1.0806855382245333,1.2200077026767107,-1.3322742152898164,2015,10,4,6,13,AS,1.0097142857143158,0.1485,lo,False,TREND_UP,1.1346465191581145,4.041242218449257,ALIGN
