family,si,ei,dir,entry_worse_atr,R
A_sweep_reclaim,37397,37398,1,-0.0,-1.0
A_sweep_reclaim,37496,37497,1,-0.0,-1.0
A_sweep_reclaim,37582,37583,1,-0.0,-1.0
A_sweep_reclaim,37591,37592,1,-0.0,-1.0
A_sweep_reclaim,37651,37652,1,-0.0,-1.0
A_sweep_reclaim,37745,37746,-1,0.0,2.0
A_sweep_reclaim,37879,37880,1,-0.0,-1.0
A_sweep_reclaim,38006,38007,1,-0.0,2.0
A_sweep_reclaim,38061,38062,-1,0.0,-1.0
A_sweep_reclaim,38148,38149,1,-0.0,1.5414851719563953
A_sweep_reclaim,38397,38398,1,-0.0,-1.0
A_sweep_reclaim,38474,38475,-1,0.0,-1.0
A_sweep_reclaim,38575,38576,1,-0.0,-1.0
A_sweep_reclaim,38655,38656,-1,0.0,0.03583955156265742
A_sweep_reclaim,38837,38838,-1,0.0,2.0
A_sweep_reclaim,38892,38893,1,-0.0,-0.3715894852553527
A_sweep_reclaim,39264,39265,-1,0.0,-1.0
A_sweep_reclaim,39358,39359,-1,0.0,-0.24293992685555876
A_sweep_reclaim,39500,39501,-1,0.0,-1.0
A_sweep_reclaim,39518,39519,-1,0.0,-1.0
A_sweep_reclaim,39680,39681,1,-0.0,-1.0
A_sweep_reclaim,39725,39726,1,-0.0,0.183598126000524
A_sweep_reclaim,39982,39983,1,-0.0,-1.0
A_sweep_reclaim,40110,40111,-1,0.0,0.8552389178479917
A_sweep_reclaim,40451,40452,1,-0.0,-1.0
A_sweep_reclaim,40794,40795,1,-0.0,2.0
A_sweep_reclaim,40939,40940,1,-0.0,2.0
A_sweep_reclaim,41055,41056,1,-0.0,-1.0
A_sweep_reclaim,41135,41136,1,-0.0,-1.0
A_sweep_reclaim,41245,41246,1,-0.0,-1.0
A_sweep_reclaim,41276,41277,-1,0.0,2.0
A_sweep_reclaim,41291,41292,1,-0.0,-1.0
A_sweep_reclaim,41339,41340,1,-0.0,-1.0
A_sweep_reclaim,41787,41788,1,-0.0,2.0
A_sweep_reclaim,41863,41864,1,-0.0,-1.0
A_sweep_reclaim,42042,42043,-1,0.0,-1.0
A_sweep_reclaim,42199,42200,1,-0.0,-1.0
A_sweep_reclaim,42236,42237,-1,0.0,2.0
A_sweep_reclaim,42246,42247,1,-0.0,0.8001874139286215
A_sweep_reclaim,42388,42389,1,-0.0,2.0
A_sweep_reclaim,42448,42449,-1,0.0,-1.0
A_sweep_reclaim,42494,42495,1,-0.0,-1.0
A_sweep_reclaim,42689,42690,1,-0.0,-1.0
A_sweep_reclaim,42762,42763,1,-0.0,-1.0
A_sweep_reclaim,43108,43109,1,-0.0,-1.0
A_sweep_reclaim,43195,43196,-1,0.0,-0.1748015567470675
A_sweep_reclaim,43354,43355,-1,0.0,2.0
A_sweep_reclaim,43467,43468,1,-0.0,-1.0
A_sweep_reclaim,43578,43579,-1,0.0,2.0
A_sweep_reclaim,43650,43651,1,-0.0,-1.0
A_sweep_reclaim,43812,43813,1,-0.0,2.0
A_sweep_reclaim,44007,44008,1,-0.0,-0.22830562241172417
A_sweep_reclaim,44115,44116,1,-0.0,2.0
A_sweep_reclaim,44174,44175,-1,0.0,2.0
A_sweep_reclaim,44252,44253,1,-0.0,-1.0
A_sweep_reclaim,44269,44270,-1,0.0,-0.43788887541203997
A_sweep_reclaim,44580,44581,-1,0.0,-1.0
A_sweep_reclaim,44632,44633,1,-0.0,-1.0
A_sweep_reclaim,44780,44781,-1,0.0,2.0
A_sweep_reclaim,44912,44913,-1,0.0,-1.0
A_sweep_reclaim,45114,45115,-1,0.0,2.0
A_sweep_reclaim,45188,45189,-1,0.0,-1.0
A_sweep_reclaim,45250,45251,1,-0.0,-1.0
A_sweep_reclaim,45281,45282,1,-0.0,-0.8492816012500564
A_sweep_reclaim,45418,45419,1,-0.0,-1.0
A_sweep_reclaim,45509,45510,1,-0.0,-1.0
A_sweep_reclaim,45575,45576,1,-0.0,-1.0
A_sweep_reclaim,45788,45789,1,-0.0,-1.0
A_sweep_reclaim,45879,45880,1,-0.0,0.6725276106824482
A_sweep_reclaim,46035,46036,1,-0.0,-1.0
A_sweep_reclaim,46093,46094,-1,0.0,2.0
A_sweep_reclaim,46148,46149,-1,0.0,2.0
A_sweep_reclaim,46192,46193,1,-0.0,2.0
A_sweep_reclaim,46203,46204,-1,0.0,2.0
A_sweep_reclaim,46288,46289,1,-0.0,-1.0
A_sweep_reclaim,46399,46400,1,-0.0,1.095117609904003
A_sweep_reclaim,46645,46646,1,-0.0,2.0
A_sweep_reclaim,46770,46771,-1,0.0,2.0
A_sweep_reclaim,47058,47059,-1,0.0,-1.0
