date,threshold,dow,session,continuation,continued_meaningfully
2024-01-30,0.3,Tuesday,asia,0.37409809417970413,1
2024-01-30,0.5,Tuesday,ny,0.23175040222926285,1
2024-01-30,0.7,Tuesday,ny,0.0,0
2024-01-31,0.3,Wednesday,ny,0.6055055207856413,1
2024-01-31,0.5,Wednesday,ny,0.25122542783968344,1
2024-01-31,0.7,Wednesday,ny,0.034430706083906075,0
2024-01-31,0.9,Wednesday,ny,0.0,0
2024-02-01,0.3,Thursday,asia,0.7458369113165363,1
2024-02-01,0.5,Thursday,ny,0.689026956946349,1
2024-02-01,0.7,Thursday,ny,0.26118435453185085,1
2024-02-01,0.9,Thursday,ny,0.26118435453185085,1
2024-02-01,1.1,Thursday,ny,0.058695761984155236,0
2024-02-06,0.3,Tuesday,ny,0.2769997626394506,1
2024-02-06,0.5,Tuesday,ny,0.12698789461191312,1
2024-02-07,0.3,Wednesday,ny,0.13334019769356814,1
2024-02-13,0.3,Tuesday,asia,0.26371541295088385,1
2024-02-13,0.5,Tuesday,ny,0.07547811749618447,0
2024-02-15,0.3,Thursday,ny,0.17864834840961344,1
2024-02-15,0.5,Thursday,ny,0.15393683828696977,1
2024-02-19,0.3,Monday,asia,0.09795589748176523,0
2024-02-20,0.3,Tuesday,asia,0.36836281728730064,1
2024-02-20,0.5,Tuesday,london,0.17380823794406947,1
2024-02-21,0.3,Wednesday,asia,0.09959243054737851,0
2024-02-22,0.3,Thursday,asia,0.1493014542691433,1
2024-02-27,0.3,Tuesday,london,0.10999851827590246,1
2024-02-28,0.3,Wednesday,ny,0.09887871143332859,0
2024-02-29,0.3,Thursday,ny,0.3606253745165275,1
2024-02-29,0.5,Thursday,ny,0.3606253745165275,1
2024-02-29,0.7,Thursday,ny,0.10649888325978801,1
2024-03-04,0.3,Monday,ny,1.2955173366487132,1
2024-03-04,0.5,Monday,ny,1.0835060091172755,1
2024-03-04,0.7,Monday,ny,0.9681931205967728,1
2024-03-04,0.9,Monday,ny,0.8171018096422209,1
2024-03-04,1.1,Monday,ny,0.5086337891974025,1
2024-03-04,1.3,Monday,ny,0.18880370216879572,1
2024-03-05,0.3,Tuesday,london,0.93179317931794,1
2024-03-05,0.5,Tuesday,london,0.6620397333851146,1
